ra,dec,object_id,gmag,rmag,imag,zmag,ymag,gmag_err,rmag_err,imag_err,zmag_err,ymag_err,photoz_median,stellar_mass,sfr,ellipticity,position_angle
150.71360000181596,2.5474346794960403,43158331061195687,22.55657,21.058954,20.238743,19.856482,19.656958,0.0018693311,0.0007168092,0.00037572836,0.00044811616,0.00075374293,0.48272845,56319000000.0,0.59165,0.24020643053534274,231.13019471095348
151.69084190523503,2.6622811344087336,43163003985594553,24.221638,22.84877,21.796898,20.979103,20.812307,0.041867107,0.0152103705,0.006560402,0.0048437994,0.010865985,0.94355834,113970000000.0,1.0085,0.12860795448544904,-47.42668804503052
151.5037675623561,1.8930084447614006,43163124244702178,25.614372,24.207014,22.273905,21.261072,20.718601,0.15805876,0.05698899,0.010675066,0.008153237,0.0113947075,1.153274,536910000000.0,1.6104,0.20138570634498654,236.5548811065554
151.54887139033275,2.945532182343346,43163150014505055,23.254059,21.702595,20.612095,20.16355,19.955734,0.012954671,0.0037057125,0.0015297146,0.0016858542,0.0033521343,0.61451155,88046000000.0,0.22685,0.0668612395924022,13.031690131631976
151.2468525590447,1.4925401465631394,43163390532679546,25.6649,24.09438,22.842197,22.009096,21.792406,0.043251906,0.015188787,0.0047896183,0.003845506,0.008253819,0.9165432,73648000000.0,0.44178,0.08321671433102185,35.004916446772505
151.1623507240413,2.432422674406183,43163412007491289,25.684013,23.842337,22.555437,21.663387,21.346111,0.05235207,0.015983272,0.00570249,0.003922626,0.0077725383,0.9398548,165650000000.0,0.98006,0.03706796409323798,-24.159965542742697
151.0141881312938,2.9169171113906343,43163562331364291,23.972961,22.96932,21.969675,21.19546,20.961369,0.017576152,0.01083626,0.0047893454,0.003738912,0.00785992,0.9645135,115340000000.0,1.7954,0.21781978095076282,-21.6878155133723
149.31249170430294,3.5869039628811947,44218109946526761,23.293869,21.740149,20.868805,20.380222,20.14812,0.0125738,0.0036030465,0.00221281,0.0023617812,0.005059038,0.5230174,68663000000.0,1.2735,0.6684071479915422,-61.82234692568582
150.7747815006956,3.033660743449708,44222495108137880,26.297848,24.81544,23.51075,22.663328,22.10951,0.07173933,0.028178953,0.008313316,0.006037077,0.010752151,1.1788472,96635000000.0,0.29083,0.10370142950339667,-64.29240084716051
151.29384904399507,3.37284212518316,44227588939346932,22.29683,21.569551,20.530771,19.894562,19.759117,0.0064221285,0.0040310244,0.002090452,0.0021491589,0.004519418,0.8580726,202620000000.0,13.832,0.10969927660669787,262.8150793008863
149.62966368041617,0.6900122419060435,42089872046966318,24.978844,23.675537,21.890173,21.179344,20.888006,0.08041707,0.031302333,0.0100755105,0.0051192665,0.014681424,0.7518006,200460000000.0,0.00010005,0.11314391197775764,18.347142085638055
151.144819896302,0.7780081404574538,42094270093463991,23.569988,22.480333,21.263235,20.670967,20.53394,0.02137499,0.010982649,0.0048892396,0.00476951,0.010519652,0.8219037,83734000000.0,2.2917,0.35792319831233943,242.42177323526266
150.90152226886968,1.1958544353960672,42094416122385926,21.904772,20.488245,19.739258,19.310736,19.055845,0.0020816107,0.0010214003,0.0005823442,0.00069032586,0.001410517,0.3690263,77088000000.0,2.1828,0.3916614633734917,266.7563886552447
150.59853264113727,0.7123681879933207,42094682410338133,24.831488,23.999556,23.064613,22.320595,21.842094,0.08234012,0.034566708,0.02118032,0.015485949,0.03121333,1.0731764,51295000000.0,1.1037,0.11584694509713489,263.0759120891016
351.8058100568157,0.9573731584138666,42687460911640865,22.567188,21.403753,20.636452,20.21794,20.0091,0.0070604244,0.002869418,0.0020409047,0.0023742227,0.004129267,0.5503126,68576002000.0,3.9046,0.09479351846712536,-38.00000234836412
351.49640145117996,0.3271281927778018,42687722904642017,24.811703,24.052898,23.111897,22.095245,21.676624,0.035535805,0.022390287,0.016045112,0.012370278,0.019649904,1.0846987,60794000000.0,1.3743,0.27241346524393606,20.352738773328156
351.33973705933533,0.4619141269610277,42687860343605857,23.446321,22.786613,22.012854,21.443111,21.182064,0.012218682,0.008343156,0.0059458446,0.0057724067,0.011661192,0.87792027,55045000000.0,3.8963,0.4657090147661598,-88.32487840417846
351.05462590371775,0.41421696346857445,42687997782551461,23.10295,22.10006,20.87337,20.301048,20.064135,0.013708341,0.0067874994,0.0033437994,0.0029845128,0.006589281,0.7905644,138260000000.0,2.2319,0.01440012080815023,35.13568614539513
350.94130463900404,0.4890565099815922,42688139516459580,23.691786,21.589804,20.188868,19.683912,19.41095,0.030204887,0.0076030404,0.0031007691,0.0027451199,0.004912699,0.7262478,294160000000.0,0.0001004,0.01900668817423834,-9.187288850831365
